Genre,programCode,programName,textColor,backgroundColor2
EVENT,EVENT,10th SP,"color: rgb(255, 255, 255)"," background-color: rgb(0, 0, 0)"
EVENT,EVENT,BEERCYCLE,"color: rgb(255, 255, 255)"," background-color: rgb(122, 50, 2)"
EVENT,EVENT,FEEL DEEP,"color: rgb(255, 255, 255)"," background-color: rgb(0, 0, 0)"
EVENT,EVENT,FEEL HIGH,"color: rgb(255, 255, 255)"," background-color: rgb(0, 0, 0)"
GENERATION,BB1,BB1 90'S,"color: rgb(0, 0, 0)"," background-color: rgb(255, 255, 102)"
GENERATION,BB1,BB1 10'S,"color: rgb(0, 0, 0)"," background-color: rgb(255, 255, 102)"
GENERATION,BB1,BB1 10'S 2,"color: rgb(0, 0, 0)"," background-color: rgb(255, 255, 102)"
GENERATION,BB2,BB2 90'S,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
GENERATION,BB2,BB2 90'S 2,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
GENERATION,BB2,BB2 MLN 1,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
GENERATION,BB2,BB2 MLN 2,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
GENERATION,BB2,BB2 MLN 3,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
GENERATION,BB2,BB2 10'S,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
GENERATION,BB2,BB2 10'S 2,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
GENERATION,BB2,BB2 10'S 3,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
GENERATION,BB2,BB2 10'S 4,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
GENERATION,BSW,BSW 10'S 1,"color: rgb(255, 255, 255)"," background-color: rgb(204, 102, 255)"
GENERATION,BSB,BSB 10'S 1,"color: rgb(0, 0, 0)"," background-color: rgb(0, 204, 255)"
MOVIE,BB2,BB2 BRJ,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
